mp_id,parliament_house,mp_name,state,constituency,elected_nominated,allocated_amount
MP_RS_16,Rajya Sabha,Kavita Patidar,Madhya Pradesh,,Elected MP,197118521.35000002
MP_RS_17,Rajya Sabha,L. Murugan,Madhya Pradesh,,Elected MP,147000000.0
MP_RS_18,Rajya Sabha,Laxmikant Bajpayee,Uttar Pradesh,,Elected MP,196000000.0
MP_RS_19,Rajya Sabha,M. Dhanapal,Tamil Nadu,,Elected MP,89248285.42
MP_RS_20,Rajya Sabha,M. Thambi Durai,Tamil Nadu,,Elected MP,49356476.5
MP_RS_21,Rajya Sabha,Medha Vishram Kulkarni,Maharashtra,,Elected MP,147000000.0
MP_RS_22,Rajya Sabha,Meenakshi Jain,Delhi,,Nominated MP,73500000.0
MP_RS_23,Rajya Sabha,Mukeshbhai J. Rathwa,Gujarat,,Elected MP,49000000.0
MP_RS_24,Rajya Sabha,Parmar Jashvantsinh Salamsinh,Gujarat,,Elected MP,147000000.0
MP_RS_25,Rajya Sabha,Radha Mohan Das Agrawal,Uttar Pradesh,,Elected MP,203626524.67000002
